Rk,Team Code,Pos,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB
11,BAL,CF,Aaron Hicks#,33,65,236,200,35,55,7,1,7,31,6,0,35,49,0.275,0.381,0.425,0.806,127,85,3,0,0,1,1
12,BAL,IF,Jordan Westburg,24,68,228,208,26,54,17,2,3,23,4,1,16,56,0.26,0.311,0.404,0.715,100,84,3,1,0,3,0
13,BAL,C,James McCann,33,69,226,207,25,46,14,0,6,26,3,1,9,57,0.222,0.269,0.377,0.646,79,78,5,5,3,2,0
14,BAL,OF,Ryan McKenna,26,88,139,122,23,31,7,0,2,18,5,0,9,40,0.254,0.316,0.361,0.677,91,44,4,3,3,2,0
15,BAL,OF,Colton Cowser*,23,26,77,61,15,7,2,0,0,4,1,0,13,22,0.115,0.286,0.148,0.433,28,9,1,2,0,1,0
16,BAL,UT,Terrin Vavra*,26,27,56,49,9,12,0,0,0,5,1,0,5,12,0.245,0.315,0.245,0.56,62,12,5,0,2,0,0
17,BAL,IF,Joey Ortiz,24,15,34,33,4,7,1,0,0,4,0,0,0,9,0.212,0.206,0.242,0.448,26,8,2,0,0,1,0
18,BAL,OF,Kyle Stowers*,25,14,33,30,1,2,0,0,0,0,0,0,3,12,0.067,0.152,0.067,0.218,-35,2,1,0,0,0,0
19,BAL,OF,Heston Kjerstad*,24,13,33,30,3,7,1,0,2,3,0,0,2,10,0.233,0.281,0.467,0.748,106,14,0,0,0,0,0
20,BAL,CI,Josh Lester*,28,11,23,22,0,4,0,0,0,4,0,0,1,7,0.182,0.217,0.182,0.399,15,4,1,0,0,0,0
21,BAL,C,Anthony Bemboom*,33,6,13,11,0,2,0,0,0,0,0,0,2,2,0.182,0.308,0.182,0.49,44,2,0,0,0,0,0
22,BAL,C,Mark Kolozsvary,27,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
1,ATL,C,Sean Murphy,28,108,438,370,65,93,21,0,21,68,0,0,49,98,0.251,0.365,0.478,0.844,125,177,18,18,0,1,0
2,ATL,1B,Matt Olson*,29,162,720,608,127,172,27,3,54,139,1,0,104,167,0.283,0.389,0.604,0.993,162,367,13,4,0,4,8
3,ATL,2B,Ozzie Albies#,26,148,660,596,96,167,30,5,33,109,13,1,46,107,0.28,0.336,0.513,0.849,124,306,9,8,0,8,2
4,ATL,SS,Orlando Arcia,28,139,533,488,66,129,25,0,17,65,1,0,39,102,0.264,0.321,0.42,0.741,98,205,14,3,0,3,0
5,ATL,3B,Austin Riley,26,159,715,636,117,179,32,3,37,97,3,1,59,172,0.281,0.345,0.516,0.861,128,328,18,9,0,11,4
6,ATL,LF,Eddie Rosario*,31,142,516,478,64,122,24,3,21,74,3,4,34,122,0.255,0.305,0.45,0.755,100,215,13,1,1,2,1
7,ATL,CF,Michael Harris II*,22,138,539,505,76,148,33,3,18,57,20,4,25,101,0.293,0.331,0.477,0.808,114,241,8,5,1,3,1
8,ATL,RF,Ronald Acuna Jr.,25,159,735,643,149,217,35,4,41,106,73,14,80,84,0.337,0.416,0.596,1.012,168,383,15,9,0,3,3
9,ATL,DH,Marcell Ozuna,32,144,592,530,84,145,29,1,40,100,0,0,57,134,0.274,0.346,0.558,0.905,138,296,9,3,0,2,1
10,ATL,C,Travis d'Arnaud,34,74,292,267,31,60,13,0,11,39,0,0,21,67,0.225,0.288,0.397,0.685,82,106,6,3,0,1,0
11,ATL,LF,Kevin Pillar,34,81,206,197,29,45,10,0,9,32,4,1,6,50,0.228,0.248,0.416,0.664,74,82,2,0,0,3,0
12,ATL,SS,Vaughn Grissom,22,23,80,75,5,21,3,1,0,9,0,1,2,15,0.28,0.313,0.347,0.659,78,26,2,2,0,1,0
13,ATL,CF,Sam Hilliard*,29,40,78,72,15,17,5,0,3,6,4,0,6,33,0.236,0.295,0.431,0.725,92,31,1,0,0,0,0
14,ATL,IF,Nicky Lopez*,28,25,72,65,13,18,3,0,1,12,2,0,5,10,0.277,0.333,0.369,0.703,89,24,0,1,0,1,0
15,ATL,CF,Eli White,29,6,17,14,1,1,0,0,0,0,0,0,2,7,0.071,0.235,0.071,0.307,-11,1,0,1,0,0,0
16,ATL,C,Chadwick Tromp,28,6,16,16,1,2,1,0,0,1,0,0,0,7,0.125,0.125,0.188,0.313,-17,3,0,0,0,0,0
17,ATL,OF,Forrest Wall*,27,15,15,13,6,6,2,0,1,2,5,1,2,4,0.462,0.533,0.846,1.379,264,11,0,0,0,0,0
18,ATL,SS,Ehire Adrianza#,33,5,11,10,0,0,0,0,0,0,0,0,1,4,0,0.091,0,0.091,-72,0,0,0,0,0,0
19,ATL,UT,Luke Williams,26,7,9,9,1,0,0,0,0,0,3,0,0,4,0,0,0,0,-100,0,0,0,0,0,0
20,ATL,SS,Braden Shewmake*,25,2,4,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-100,0,0,0,0,0,0
21,ATL,DH,Charlie Culberson,34,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,2,443,1,0,0,0,0,0
1,LAD,C,Will Smith,28,126,554,464,80,121,21,2,19,76,3,0,63,89,0.261,0.359,0.438,0.797,114,203,8,15,0,12,2
2,LAD,1B,Freddie Freeman*,33,161,730,637,131,211,59,2,29,102,23,1,72,121,0.331,0.41,0.567,0.976,161,361,14,16,0,5,12
3,LAD,2B,Miguel Vargas,23,81,304,256,36,50,15,4,7,32,3,2,38,61,0.195,0.305,0.367,0.672,81,94,1,4,1,4,1
4,LAD,SS,Miguel Rojas,34,124,423,385,49,91,16,1,5,31,8,3,26,48,0.236,0.29,0.322,0.612,66,124,12,5,2,5,0
5,LAD,3B,Max Muncy*,32,135,579,482,95,102,17,1,36,105,1,2,85,153,0.212,0.333,0.475,0.808,115,229,8,6,0,6,4
6,LAD,LF,David Peralta*,35,133,422,394,47,102,25,1,7,55,4,1,20,72,0.259,0.294,0.381,0.675,81,150,8,2,0,6,1
7,LAD,CF,James Outman*,26,151,567,483,86,120,16,3,23,70,16,3,68,181,0.248,0.353,0.437,0.79,112,211,4,12,0,4,1
8,LAD,RF,Mookie Betts,30,152,693,584,126,179,40,1,39,107,14,3,96,107,0.307,0.408,0.579,0.987,163,338,5,8,0,5,3
9,LAD,DH,J.D. Martinez,35,113,479,432,61,117,27,2,33,103,1,0,34,149,0.271,0.321,0.572,0.893,134,247,11,2,0,9,1
10,LAD,UT,Chris Taylor,32,117,384,338,51,80,15,1,15,56,16,3,41,125,0.237,0.326,0.42,0.746,100,142,2,4,0,1,2
11,LAD,RF,Jason Heyward*,33,124,377,334,56,90,23,0,15,40,2,2,34,64,0.269,0.34,0.473,0.813,117,158,7,3,0,3,1
12,LAD,C,Austin Barnes,33,59,200,178,15,32,5,0,2,11,2,1,17,43,0.18,0.256,0.242,0.498,36,43,7,2,1,2,0
13,LAD,UT,Enrique Hernandez,31,54,185,168,19,44,12,0,5,30,1,0,12,29,0.262,0.308,0.423,0.731,95,71,6,1,0,4,1
14,LAD,2B,Amed Rosario,27,48,133,125,19,32,6,2,3,18,6,2,7,22,0.256,0.301,0.408,0.709,89,51,4,1,0,0,0
15,LAD,OF,Trayce Thompson,32,36,87,71,12,11,0,0,5,14,0,0,15,37,0.155,0.31,0.366,0.677,82,26,0,1,0,0,0
16,LAD,IF,Michael Busch*,25,27,81,72,9,12,3,0,2,7,1,0,8,27,0.167,0.247,0.292,0.539,45,21,0,0,0,1,0
17,LAD,OF,Jonny Deluca,24,24,45,42,5,11,1,0,2,6,1,0,3,8,0.262,0.311,0.429,0.74,97,18,0,0,0,0,0
18,LAD,2B,Kolten Wong*,32,20,34,30,4,9,0,0,2,8,2,1,2,7,0.3,0.353,0.5,0.853,127,15,1,1,0,1,0
19,LAD,IF,Yonny Hernandez#,25,14,27,22,5,3,1,0,0,4,0,0,2,8,0.136,0.231,0.182,0.413,14,4,0,1,1,1,0
20,LAD,C,Austin Wynns,32,5,12,11,0,2,1,0,0,2,0,0,1,5,0.182,0.25,0.273,0.523,42,3,0,0,0,0,0
21,LAD,SS,Luke Williams,26,4,10,10,0,1,0,0,0,0,1,0,0,3,0.1,0.1,0.1,0.2,-46,1,0,0,0,0,0
22,LAD,CF,Jake Marisnick,32,4,6,5,0,2,0,0,0,0,0,1,0,0,0.4,0.5,0.4,0.9,149,2,0,1,0,0,0
1,MIA,C,Nick Fortes,26,108,323,294,33,60,10,0,6,26,4,2,17,59,0.204,0.263,0.299,0.562,52,88,12,7,3,2,0
2,MIA,1B,Yuli Gurriel,39,108,329,298,32,73,16,3,4,27,4,0,26,44,0.245,0.304,0.359,0.663,79,107,13,1,0,4,3
3,MIA,2B,Luis Arraez*,26,147,617,574,71,203,30,3,10,69,3,2,35,34,0.354,0.393,0.469,0.861,133,269,18,4,1,3,10
4,MIA,SS,Joey Wendle*,33,112,318,297,33,63,16,3,2,20,7,1,13,67,0.212,0.248,0.306,0.554,50,91,8,2,3,3,0
5,MIA,3B,Jean Segura,33,85,326,301,25,66,5,2,3,21,6,2,22,47,0.219,0.277,0.279,0.556,52,84,12,2,1,0,1
6,MIA,LF,Bryan De La Cruz,26,153,626,579,60,149,32,0,19,78,4,1,40,142,0.257,0.304,0.411,0.715,92,238,18,1,0,5,0
7,MIA,CF,Jazz Chisholm Jr.*,25,97,383,352,50,88,12,2,19,51,22,3,26,118,0.25,0.304,0.457,0.761,103,161,4,2,1,2,0
8,MIA,RF,Jesus Sanchez*,25,125,402,360,43,91,23,3,14,52,3,1,38,107,0.253,0.327,0.45,0.777,108,162,12,2,1,1,1
9,MIA,DH,Jorge Soler,31,137,580,504,77,126,24,0,36,75,1,0,66,141,0.25,0.341,0.512,0.853,128,258,20,6,0,4,4
10,MIA,IF,Jon Berti,33,133,424,388,53,114,16,3,7,33,16,6,29,77,0.294,0.344,0.405,0.748,103,157,10,2,2,3,2
11,MIA,1B,Garrett Cooper,32,82,324,305,28,78,11,1,13,46,0,0,17,97,0.256,0.296,0.426,0.723,93,130,9,1,0,1,0
12,MIA,C,Jacob Stallings,33,88,276,241,22,46,14,0,3,20,0,0,27,67,0.191,0.278,0.286,0.565,54,69,9,3,3,2,0
13,MIA,UT,Garrett Hampson,28,98,252,221,30,61,12,1,3,23,5,0,23,67,0.276,0.349,0.38,0.729,98,84,3,3,3,2,0
14,MIA,1B,Josh Bell#,30,53,224,200,26,54,9,0,11,26,0,0,20,53,0.27,0.338,0.48,0.818,119,96,6,1,0,1,1
15,MIA,3B,Jake Burger,27,53,217,198,27,60,13,0,9,28,0,0,10,47,0.303,0.355,0.505,0.86,130,100,1,7,0,2,0
16,MIA,RF,Avisail Garcia,32,37,118,108,8,20,3,1,3,12,2,0,6,39,0.185,0.241,0.315,0.556,50,34,1,2,0,0,1
17,MIA,CF,Jonathan Davis,31,34,104,90,22,22,4,1,2,10,1,2,7,29,0.244,0.307,0.378,0.685,85,34,1,2,2,2,0
18,MIA,2B,Xavier Edwards#,23,30,84,78,12,23,3,0,0,3,5,0,3,14,0.295,0.329,0.333,0.663,81,26,1,1,2,0,0
19,MIA,CF,Dane Myers,27,22,70,67,9,18,3,0,1,9,1,1,2,19,0.269,0.286,0.358,0.644,74,24,1,0,0,1,0
20,MIA,OF,Peyton Burdick,26,14,37,33,4,6,2,0,1,2,1,0,3,18,0.182,0.27,0.333,0.604,63,11,0,1,0,0,0
21,MIA,MI,Jacob Amaya,24,4,9,9,1,2,0,0,0,2,1,0,0,1,0.222,0.222,0.222,0.444,22,2,0,0,0,0,0
1,MIL,C,William Contreras,25,141,611,540,86,157,38,1,17,78,6,1,63,126,0.291,0.369,0.459,0.828,126,248,23,5,1,2,2
2,MIL,1B,Rowdy Tellez*,28,105,351,311,26,67,9,1,13,47,0,0,35,86,0.215,0.291,0.376,0.667,82,117,11,0,0,5,2
3,MIL,2B,Brice Turang*,23,137,448,404,46,88,9,3,6,34,26,4,38,94,0.218,0.285,0.3,0.585,62,121,9,1,3,2,1
4,MIL,SS,Willy Adames,27,149,638,553,73,120,29,2,24,80,5,3,71,165,0.217,0.31,0.407,0.717,95,225,12,6,0,6,1
5,MIL,3B,Brian Anderson,30,96,361,318,38,72,12,3,9,40,1,3,36,108,0.226,0.31,0.368,0.678,86,117,10,4,0,3,0
6,MIL,LF,Christian Yelich*,31,144,632,550,106,153,34,1,19,76,28,3,78,140,0.278,0.37,0.447,0.818,124,246,15,3,0,1,7
7,MIL,CF,Joey Wiemer,24,132,410,367,48,75,19,0,13,42,11,4,36,116,0.204,0.283,0.362,0.645,76,133,4,5,0,2,0
8,MIL,RF,Tyrone Taylor,29,81,243,231,36,54,17,1,10,35,9,0,8,55,0.234,0.267,0.446,0.713,91,103,10,3,0,1,0
9,MIL,DH,Jesse Winker*,29,61,197,166,16,33,5,0,1,23,0,0,26,51,0.199,0.32,0.247,0.567,60,41,0,4,0,1,0
10,MIL,IF,Andruw Monasterio,26,92,315,282,38,73,14,1,3,27,7,2,28,66,0.259,0.33,0.348,0.678,87,98,9,3,0,2,0
11,MIL,IF,Owen Miller,26,90,314,291,29,76,17,0,5,27,13,2,17,61,0.261,0.303,0.371,0.674,84,108,6,2,0,4,1
12,MIL,1B,Carlos Santana#,37,52,226,205,33,51,8,1,11,33,0,0,20,35,0.249,0.314,0.459,0.773,109,94,8,0,0,1,0
13,MIL,C,Victor Caratini#,29,62,226,201,23,52,4,0,7,25,1,1,19,45,0.259,0.327,0.383,0.711,95,77,8,3,0,3,0
14,MIL,OF,Sal Frelick*,23,57,223,191,29,47,9,1,3,24,7,0,28,37,0.246,0.341,0.351,0.692,91,67,2,1,0,3,0
15,MIL,OF,Mark Canha,34,50,204,178,23,51,10,0,5,33,4,1,17,27,0.287,0.373,0.427,0.8,120,76,3,8,0,1,1
16,MIL,OF,Blake Perkins#,26,67,168,143,28,31,7,0,4,20,5,2,23,46,0.217,0.325,0.35,0.675,86,50,3,0,2,0,0
17,MIL,3B,Mike Brosseau,29,29,78,73,4,15,2,0,4,8,0,0,4,20,0.205,0.256,0.397,0.654,76,29,2,1,0,0,0
18,MIL,1B,Luke Voit,32,22,74,68,5,15,3,0,0,4,2,0,4,27,0.221,0.284,0.265,0.548,53,18,3,2,0,0,0
19,MIL,CF,Garrett Mitchell*,24,19,73,65,10,16,2,1,3,7,1,1,7,26,0.246,0.315,0.446,0.761,106,29,0,0,0,1,0
20,MIL,3B,Josh Donaldson,37,17,69,59,5,10,4,0,3,11,0,0,10,18,0.169,0.29,0.39,0.68,85,23,4,0,0,0,0
21,MIL,IF,Luis Uri≠as,26,20,68,55,5,8,2,0,1,5,0,0,7,15,0.145,0.299,0.236,0.535,50,13,1,5,0,0,0
22,MIL,RF,Raimel Tapia*,29,20,61,52,10,9,0,0,2,3,2,1,6,20,0.173,0.267,0.288,0.555,53,15,1,1,1,1,0
23,MIL,1B,Jon Singleton*,31,11,32,29,3,3,1,0,0,2,0,0,3,11,0.103,0.188,0.138,0.325,-8,4,0,0,0,0,0
24,MIL,DH,Darin Ruf,36,11,30,26,2,5,1,0,0,0,0,0,4,7,0.192,0.3,0.231,0.531,49,6,0,0,0,0,0
25,MIL,CI,Abraham Toro#,26,9,21,18,4,8,0,0,2,9,0,0,2,5,0.444,0.524,0.778,1.302,252,14,0,1,0,0,0
26,MIL,DH,Jahmai Jones,25,7,11,10,2,2,1,0,0,3,1,0,1,5,0.2,0.273,0.3,0.573,58,3,0,0,0,0,0
1,ARI,C,Gabriel Moreno,23,111,380,341,33,97,19,1,7,50,6,2,29,75,0.284,0.339,0.408,0.747,104,139,17,3,0,7,0
2,ARI,1B,Christian Walker,32,157,661,582,86,150,36,2,33,103,11,0,62,127,0.258,0.333,0.497,0.83,123,289,13,8,0,8,3
3,ARI,2B,Ketel Marte#,29,150,650,569,94,157,26,9,25,82,8,2,71,109,0.276,0.358,0.485,0.844,128,276,16,5,0,5,2
4,ARI,SS,Geraldo Perdomo#,23,144,495,407,71,100,20,4,6,47,16,4,64,86,0.246,0.353,0.359,0.712,96,146,2,6,14,4,1
5,ARI,3B,Emmanuel Rivera,27,86,283,257,32,67,13,0,4,29,1,0,22,56,0.261,0.314,0.358,0.672,84,92,9,0,0,4,0
6,ARI,LF,Lourdes Gurriel Jr.,29,145,592,551,65,144,35,2,24,82,5,0,33,103,0.261,0.309,0.463,0.772,108,255,20,6,0,2,1
7,ARI,CF,Alek Thomas*,23,125,402,374,51,86,17,5,9,39,9,1,19,86,0.23,0.273,0.374,0.647,75,140,5,4,2,3,1
8,ARI,RF,Jake McCarthy*,25,99,312,276,37,67,7,5,2,16,26,4,26,62,0.243,0.318,0.326,0.644,77,90,4,5,4,1,0
9,ARI,DH,Pavin Smith*,27,69,228,191,26,36,5,0,7,30,1,1,35,45,0.188,0.317,0.325,0.642,77,62,3,1,0,0,0
10,ARI,OF,Corbin Carroll*,22,155,645,565,116,161,30,10,25,76,54,5,57,125,0.285,0.362,0.506,0.868,134,286,7,13,6,4,1
11,ARI,3B,Evan Longoria,37,74,237,211,25,47,9,0,11,28,0,0,23,73,0.223,0.295,0.422,0.717,93,89,8,0,0,3,0
12,ARI,DH,Tommy Pham,35,50,217,195,26,47,12,2,6,32,11,2,18,50,0.241,0.304,0.415,0.72,95,81,9,1,0,3,0
13,ARI,3B,Josh Rojas*,29,59,216,189,23,43,13,0,0,26,6,0,18,51,0.228,0.292,0.296,0.589,62,56,2,1,2,4,0
14,ARI,SS,Nick Ahmed,33,72,210,198,14,42,10,1,2,17,5,1,12,52,0.212,0.257,0.303,0.56,53,60,0,0,0,0,0
15,ARI,C,Jose Herrera#,26,41,120,101,15,21,5,0,0,7,1,0,13,30,0.208,0.296,0.257,0.553,54,26,2,0,5,1,0
16,ARI,3B,Jace Peterson*,33,41,106,93,5,17,3,2,0,9,4,1,11,24,0.183,0.276,0.258,0.534,48,24,1,1,1,0,1
17,ARI,OF,Dominic Fletcher*,25,28,102,93,10,28,5,1,2,14,0,2,7,22,0.301,0.35,0.441,0.791,115,41,0,0,2,0,1
18,ARI,C,Carson Kelly,28,32,92,84,6,19,3,0,1,6,1,0,7,23,0.226,0.283,0.298,0.58,60,25,2,0,0,1,0
19,ARI,DH,Kyle Lewis,27,16,54,51,2,8,2,0,1,2,0,0,3,21,0.157,0.204,0.255,0.459,25,13,0,0,0,0,0
20,ARI,DH,Dominic Canzone*,25,15,41,38,4,9,2,0,1,8,0,0,2,8,0.237,0.293,0.368,0.661,80,14,1,1,0,0,0
21,ARI,SS,Jordan Lawlar,20,14,34,31,2,4,0,0,0,0,1,1,2,11,0.129,0.206,0.129,0.335,-5,4,0,1,0,0,0
22,ARI,3B,Buddy Kennedy,24,10,29,24,1,4,1,0,0,1,0,0,4,6,0.167,0.31,0.208,0.519,47,5,0,1,0,0,0
23,ARI,C,Seby Zavala,29,7,17,14,2,5,1,0,0,2,0,0,2,2,0.357,0.471,0.429,0.899,150,6,0,1,0,0,0
1,TB,C,Christian Bethancourt,31,104,332,315,49,71,16,0,11,33,1,0,13,91,0.225,0.254,0.381,0.635,74,120,6,0,1,3,0
2,TB,1B,Yandy Di≠az,31,137,600,525,95,173,35,0,22,78,0,1,65,94,0.33,0.41,0.522,0.932,158,274,16,8,0,2,0
3,TB,2B,Brandon Lowe*,28,109,436,377,58,87,15,1,21,68,7,0,50,119,0.231,0.328,0.443,0.771,113,167,8,6,0,3,0
4,TB,SS,Wander Franco#,22,112,491,442,65,124,23,6,17,58,30,10,42,69,0.281,0.344,0.475,0.819,126,210,18,3,0,4,3
5,TB,3B,Isaac Paredes,24,143,571,492,71,123,24,0,31,98,1,0,58,104,0.25,0.352,0.488,0.84,131,240,11,20,0,1,0
6,TB,LF,Randy Arozarena,28,151,654,551,95,140,19,3,23,83,22,10,80,156,0.254,0.364,0.425,0.789,120,234,10,18,0,5,1
7,TB,CF,Jose Siri,27,101,364,338,58,75,13,2,25,56,12,3,20,130,0.222,0.267,0.494,0.761,106,167,5,2,1,3,0
8,TB,RF,Josh Lowe*,25,135,501,466,71,136,33,2,20,83,32,3,31,124,0.292,0.335,0.5,0.835,129,233,6,1,0,3,2
9,TB,DH,Harold Ramirez,28,122,434,400,58,125,19,2,12,68,5,3,22,79,0.313,0.353,0.46,0.813,125,184,7,6,0,6,0
10,TB,UT,Luke Raley*,28,118,406,357,56,89,23,3,19,49,14,3,28,128,0.249,0.333,0.49,0.824,126,175,2,18,1,2,0
11,TB,IF,Taylor Walls#,26,99,349,303,50,61,12,2,8,36,22,1,44,92,0.201,0.305,0.333,0.638,79,101,1,1,1,0,0
12,TB,OF,Manuel Margot,28,99,336,311,39,82,21,1,4,38,9,3,18,55,0.264,0.31,0.376,0.686,91,117,6,4,0,3,0
13,TB,C,Francisco Mejia#,27,50,160,150,22,34,11,0,5,19,0,1,6,38,0.227,0.258,0.4,0.658,80,60,2,1,1,2,0
14,TB,C,Rene Pinto,26,38,105,103,10,26,3,0,6,16,0,0,2,34,0.252,0.267,0.456,0.723,97,47,2,0,0,0,0
15,TB,IF,Jonathan Aranda*,25,34,103,87,13,20,4,1,2,13,0,0,13,31,0.23,0.34,0.368,0.708,98,32,1,2,0,1,1
16,TB,SS,Osleivis Basabe,22,31,94,87,15,19,5,0,1,12,0,1,6,25,0.218,0.277,0.31,0.587,64,27,2,1,0,0,0
17,TB,3B,Curtis Mead,22,24,92,83,12,21,3,1,1,5,0,0,7,21,0.253,0.326,0.349,0.675,89,29,3,2,0,0,0
18,TB,UT,Vidal Brujan#,25,37,84,76,14,13,2,0,0,6,3,2,5,21,0.171,0.241,0.197,0.438,25,15,1,2,1,0,0
19,TB,IF,Junior Caminero,19,7,36,34,4,8,1,0,1,7,0,0,2,8,0.235,0.278,0.353,0.631,75,12,2,0,0,0,0
20,TB,OF,Raimel Tapia*,29,5,11,9,4,3,0,0,0,0,2,0,2,1,0.333,0.455,0.333,0.788,126,3,0,0,0,0,0
21,TB,IF,Tristan Gray*,27,2,5,5,1,2,0,0,1,1,0,0,0,0,0.4,0.4,1,1.4,272,5,0,0,0,0,0
1,TEX,C,Jonah Heim#,28,131,501,457,61,118,28,0,18,95,2,0,40,96,0.258,0.317,0.438,0.755,103,200,10,1,0,3,2
2,TEX,1B,Nathaniel Lowe*,27,161,724,623,89,163,38,3,17,82,1,0,93,165,0.262,0.36,0.414,0.775,111,258,22,5,0,3,2
3,TEX,2B,Marcus Semien,32,162,753,670,122,185,40,4,29,100,14,3,72,110,0.276,0.348,0.478,0.826,122,320,5,5,0,5,1
4,TEX,SS,Corey Seager*,29,119,536,477,88,156,42,0,33,96,2,1,49,88,0.327,0.39,0.623,1.013,170,297,9,4,0,6,9
5,TEX,3B,Josh Jung,25,122,515,478,75,127,25,1,23,70,1,3,30,151,0.266,0.315,0.467,0.781,109,223,7,5,0,2,0
6,TEX,LF,Travis Jankowski*,32,107,287,247,34,65,12,1,1,30,19,1,35,42,0.263,0.357,0.332,0.689,90,82,6,2,1,2,0
7,TEX,CF,Leody Taveras#,24,143,554,511,67,136,31,3,14,67,14,4,35,117,0.266,0.312,0.421,0.733,97,215,3,1,3,4,0
